ticker,datetime,direction,entry,exit,stop,target,pnl,pnl_pct,exit_reason,bars_held,volume_ratio,breakeven_triggered
NVDA,2026-02-23 18:15:00,short,191.61,191.725,193.23753571428574,189.65695714285715,-0.11499999999998067,-0.0600177443765882,timeout,30,5.442011990390579,False
NVDA,2026-02-23 19:49:00,long,191.83,192.01964285714288,191.6719642857143,192.01964285714288,0.18964285714287143,0.09885985359061222,target,11,3.402449437343087,True
NVDA,2026-02-23 19:51:00,long,191.92,191.92,191.76196428571427,192.10964285714286,0.0,0.0,stop_breakeven,8,3.389826992490561,True
NVDA,2026-02-24 04:32:00,short,192.39,192.09964285714284,192.63196428571428,192.09964285714284,0.29035714285714675,0.1509211200463365,target,3,7.7043580178094135,True
NVDA,2026-02-24 04:33:00,short,192.34,192.04535714285714,192.58553571428573,192.04535714285714,0.2946428571428612,0.15318855003788145,target,2,3.5607646505797557,True
NVDA,2026-02-24 04:35:00,short,192.0,192.29553571428573,192.29553571428573,191.64535714285714,-0.2955357142857338,-0.15392485119048632,stop,1,5.139468233024035,False
NVDA,2026-02-24 05:38:00,short,192.31,192.31,192.45642857142857,192.1342857142857,0.0,0.0,stop_breakeven,3,4.133090409485977,True
NVDA,2026-02-24 05:41:00,short,192.23,192.3907142857143,192.3907142857143,192.03714285714284,-0.16071428571430602,-0.08360520507428915,stop,3,3.3672574602077963,False
NVDA,2026-02-24 07:00:00,short,190.7,190.7,191.17321428571427,190.13214285714284,0.0,0.0,stop_breakeven,1,17.43472169936496,True
NVDA,2026-02-24 07:34:00,short,189.63,189.63,190.15589285714285,188.99892857142856,0.0,0.0,stop_breakeven,2,5.301120113155349,True
NVDA,2026-02-24 08:41:00,long,190.78,190.3299642857143,190.3299642857143,191.32004285714282,-0.4500357142856899,-0.23589250146015825,stop,14,3.489193240306667,False
NVDA,2026-02-24 09:27:00,long,191.37,191.37,190.929625,191.89845000000003,0.0,0.0,stop_breakeven,3,4.577893663260206,True
NVDA,2026-02-24 09:28:00,long,191.48,191.48,191.0164107142857,192.03630714285714,0.0,0.0,stop_breakeven,2,3.817459959218358,True
NVDA,2026-02-24 09:31:00,short,190.07,190.07,190.92226785714286,189.04727857142856,0.0,0.0,stop_breakeven,1,5.010003125857268,True
NVDA,2026-02-24 09:32:00,short,189.75,189.75,190.7215,188.5842,0.0,0.0,stop_breakeven,1,4.553127721650152,True
NVDA,2026-02-24 09:33:00,short,189.04,189.04,190.13783928571428,187.72259285714284,0.0,0.0,stop_breakeven,1,3.4173982822553777,True
NVDA,2026-02-24 09:35:00,short,187.8441,189.19804642857144,189.19804642857144,186.21936428571428,-1.3539464285714473,-0.7207819828099191,stop,4,3.0071159819666637,False
NVDA,2026-02-24 15:59:00,short,192.805,192.805,193.39776785714287,192.0936785714286,0.0,0.0,stop_breakeven,3,3.331867881672021,True
NVDA,2026-02-24 17:14:00,short,192.56,192.56,192.65999999999997,192.44000000000005,0.0,0.0,stop_breakeven,1,6.847680312777032,True
NVDA,2026-02-24 18:32:00,short,192.5,192.59821428571425,192.59821428571425,192.3821428571429,-0.09821428571424917,-0.05102040816324633,stop,3,7.043485990261824,False
NVDA,2026-02-24 18:58:00,long,192.81,192.68501785714284,192.68501785714284,192.9599785714286,-0.12498214285716358,-0.06482140078686977,stop,3,3.065574009962458,False
NVDA,2026-02-24 19:50:00,long,193.01,193.01,192.85017857142856,193.2017857142857,0.0,0.0,stop_breakeven,5,5.327531367689816,True
NVDA,2026-02-25 05:15:00,long,193.82,193.94964285714286,193.7119642857143,193.94964285714286,0.12964285714286916,0.06688827630939488,target,6,3.176974623750412,True
NVDA,2026-02-25 06:00:00,long,194.12,194.12,194.01464285714286,194.24642857142857,0.0,0.0,stop_breakeven,2,8.94646254189691,True
NVDA,2026-02-25 06:39:00,long,194.55,194.55,194.38125000000002,194.7525,0.0,0.0,stop_breakeven,11,3.324559658438796,True
NVDA,2026-02-25 07:00:00,short,194.35,194.35,194.56607142857143,194.09071428571428,0.0,0.0,stop_breakeven,6,8.581969861645566,True
NVDA,2026-02-25 08:00:00,short,193.44,193.44,193.91739285714286,192.86712857142857,0.0,0.0,stop_breakeven,1,17.293342356763684,True
NVDA,2026-02-25 08:29:00,long,194.55,194.377,194.377,194.75760000000002,-0.17300000000000182,-0.08892315600102894,stop,7,3.126160422899616,False
NVDA,2026-02-25 09:25:00,long,194.78,194.52848214285714,194.52848214285714,195.08182142857143,-0.2515178571428578,-0.1291292007099588,stop,3,3.012376284109903,False
NVDA,2026-02-25 09:31:00,long,194.94,194.4390892857143,194.4390892857143,195.54109285714287,-0.500910714285709,-0.2569563528704776,stop,1,4.747641412527586,False
NVDA,2026-02-25 09:32:00,short,194.185,194.185,194.83591071428572,193.40390714285712,0.0,0.0,stop_breakeven,6,3.915957177664123,True
NVDA,2026-02-25 09:51:00,long,195.405,195.405,194.46037499999997,196.53855000000001,0.0,0.0,stop_breakeven,2,3.331121921414903,True
NVDA,2026-02-25 11:36:00,long,196.695,196.695,196.292375,197.17815000000002,0.0,0.0,stop_breakeven,1,4.9054507465742745,True
NVDA,2026-02-25 16:31:00,long,200.2607,200.2607,197.5214142857143,203.54784285714288,0.0,0.0,stop_breakeven,1,11.949215862401173,True
NVDA,2026-02-25 16:34:00,long,202.18,198.67285714285714,198.67285714285714,206.38857142857145,-3.507142857142867,-1.7346635953817722,stop,17,3.333341919240885,False
NVDA,2026-02-25 18:34:00,short,194.6257,194.6257,195.63819999999998,193.41070000000002,0.0,0.0,stop_breakeven,1,3.2785940906924047,True
NVDA,2026-02-26 05:22:00,short,197.95,197.95,198.28392857142856,197.5492857142857,0.0,0.0,stop_breakeven,7,6.55013066609225,True
NVDA,2026-02-26 05:37:00,short,196.99,196.99,197.47214285714287,196.4114285714286,0.0,0.0,stop_breakeven,1,3.285946408707857,True
NVDA,2026-02-26 06:11:00,short,196.62,197.1342857142857,197.1342857142857,196.00285714285715,-0.5142857142857054,-0.2615632765159726,stop,14,6.506363163724316,False
NVDA,2026-02-26 06:38:00,long,197.68,197.2567857142857,197.2567857142857,198.18785714285715,-0.42321428571429465,-0.2140905937445845,stop,5,3.519330068039965,False
NVDA,2026-02-26 06:57:00,long,198.09,197.5132142857143,197.5132142857143,198.78214285714284,-0.5767857142857054,-0.29117356468560013,stop,3,4.041108060550132,False
NVDA,2026-02-26 07:26:00,long,198.35,198.35,197.87142857142857,198.9242857142857,0.0,0.0,stop_breakeven,4,3.1208794487037976,True
NVDA,2026-02-26 07:45:00,short,197.5,197.5,198.0625,196.825,0.0,0.0,stop_breakeven,7,3.9630463836414154,True
NVDA,2026-02-26 08:48:00,long,198.115,197.58057142857143,197.58057142857143,198.7563142857143,-0.5344285714285775,-0.2697567430172261,stop,1,3.5321485490404405,False
NVDA,2026-02-26 09:25:00,short,195.17,194.28307142857142,195.90910714285712,194.28307142857142,0.8869285714285695,0.45443898725653,target,2,4.600276437085065,True
NVDA,2026-02-26 09:27:00,short,194.71,194.71,195.66875,193.5595,0.0,0.0,stop_breakeven,1,3.7730785164904446,True
NVDA,2026-02-26 09:30:00,short,193.35,193.35,194.7125,191.71499999999997,0.0,0.0,stop_breakeven,1,13.52832118121323,True
NVDA,2026-02-26 09:32:00,short,191.68,191.68,193.4282142857143,189.58214285714286,0.0,0.0,stop_breakeven,2,4.8385123183013645,True
NVDA,2026-02-26 14:09:00,long,186.52,186.00480357142857,186.00480357142857,187.13823571428574,-0.5151964285714428,-0.27621511289483314,stop,4,3.353769172063509,False
NVDA,2026-02-26 16:52:00,long,185.3,185.3,185.01773214285714,185.63872142857147,0.0,0.0,stop_breakeven,12,3.891162536895106,True
NVDA,2026-02-26 17:22:00,short,184.89,185.2505357142857,185.2505357142857,184.45735714285712,-0.3605357142857031,-0.19500011589902272,stop,1,5.612046046367176,False
TSLA,2026-02-17 04:30:00,long,414.99,414.39178571428573,414.39178571428573,415.70785714285716,-0.5982142857142776,-0.14415149418402312,stop,28,3.597444089456869,False
TSLA,2026-02-17 05:03:00,short,414.05,414.05,414.50000000000006,413.51,0.0,0.0,stop_breakeven,16,3.7204544230872774,True
TSLA,2026-02-17 05:34:00,short,413.6,413.6,414.07678571428573,413.02785714285716,0.0,0.0,stop_breakeven,2,3.3385487971836496,True
TSLA,2026-02-17 05:36:00,short,413.41,412.82928571428573,413.8939285714286,412.82928571428573,0.5807142857142935,0.1404693369087089,target,7,3.3247712313372935,True
TSLA,2026-02-17 05:42:00,short,413.0,413.0,413.5232142857143,412.3721428571429,0.0,0.0,stop_breakeven,1,5.497967479674797,True
TSLA,2026-02-17 05:43:00,short,412.67,412.67,413.2432142857143,411.9821428571429,0.0,0.0,stop_breakeven,10,3.218213389928613,True
TSLA,2026-02-17 06:16:00,short,411.64,411.64,412.40785714285715,410.7185714285714,0.0,0.0,stop_breakeven,1,3.820681913848744,True
TSLA,2026-02-17 07:59:00,short,412.0,412.0,412.5446428571429,411.34642857142853,0.0,0.0,stop_breakeven,1,6.301358125187439,True
TSLA,2026-02-17 08:50:00,long,412.5,412.5,411.4337142857143,413.77954285714287,0.0,0.0,stop_breakeven,1,4.8484596746278985,True
TSLA,2026-02-17 08:51:00,long,413.67,412.3840892857143,412.3840892857143,415.2130928571429,-1.2859107142857056,-0.3108542350873173,stop,6,6.125174716570896,False
TSLA,2026-02-17 09:30:00,short,409.25,409.25,411.0565535714286,407.0821357142857,0.0,0.0,stop_breakeven,1,18.30352747404623,True
TSLA,2026-02-17 13:20:00,long,407.805,409.59274285714287,406.3152142857143,409.59274285714287,1.7877428571428595,0.43838178961583585,target,3,3.6390312412330603,True
TSLA,2026-02-18 04:48:00,long,414.12,413.83517857142857,413.83517857142857,414.4617857142857,-0.28482142857143344,-0.06877751100440294,stop,1,7.438760495109496,False
TSLA,2026-02-18 05:34:00,long,414.57,414.57,414.2217857142857,414.9878571428571,0.0,0.0,stop_breakeven,2,10.524691358024691,True
TSLA,2026-02-18 06:13:00,short,413.23,413.23,413.59964285714284,412.7864285714286,0.0,0.0,stop_breakeven,2,3.2553051848610806,True
TSLA,2026-02-18 06:34:00,short,412.98,412.98,413.4657142857143,412.3971428571429,0.0,0.0,stop_breakeven,1,4.75637246401942,True
TSLA,2026-02-18 07:00:00,short,412.63,413.0032142857143,413.0032142857143,412.1821428571428,-0.3732142857143117,-0.0904476857509904,stop,1,11.869887525562373,False
TSLA,2026-02-18 07:34:00,short,411.73,412.3621428571429,412.3621428571429,410.97142857142853,-0.6321428571428669,-0.15353334883124056,stop,4,3.3554197860195623,False
TSLA,2026-02-18 08:21:00,short,411.57,412.17483928571426,412.17483928571426,410.84419285714284,-0.604839285714263,-0.1469590314440467,stop,6,5.4561075729267525,False
TSLA,2026-02-18 09:18:00,long,412.1517,411.40759285714284,411.40759285714284,413.0446285714286,-0.7441071428571604,-0.18054205353445354,stop,2,4.316729879915828,False
TSLA,2026-02-18 09:31:00,long,413.385,411.3558214285714,411.3558214285714,415.82001428571425,-2.029178571428588,-0.4908689409215593,stop,1,6.929740725154923,False
TSLA,2026-02-18 17:47:00,long,410.79,411.0,408.6254642857143,413.38744285714284,0.20999999999997954,0.05112101073540727,timeout,30,9.926734926052331,False
TSLA,2026-02-18 19:21:00,short,410.48,410.48,410.7478571428572,410.1585714285714,0.0,0.0,stop_breakeven,2,5.03013698630137,True
TSLA,2026-02-18 19:23:00,short,410.2655,410.16,410.60657142857144,409.8562142857142,0.10549999999994952,0.025715055250794795,timeout,30,3.030152005980563,False
TSLA,2026-02-19 04:36:00,short,409.81,409.81,410.4117857142857,409.08785714285716,0.0,0.0,stop_breakeven,4,6.256949111124687,True
TSLA,2026-02-19 04:47:00,short,408.75,409.4482142857143,409.4482142857143,407.91214285714284,-0.6982142857143003,-0.17081695063346797,stop,5,3.2570255278722686,False
TSLA,2026-02-19 05:03:00,short,408.96,408.96,409.5260714285714,408.2807142857142,0.0,0.0,stop_breakeven,2,4.85322402648589,True
TSLA,2026-02-19 05:42:00,long,408.1,408.1,407.4696428571429,408.8564285714286,0.0,0.0,stop_breakeven,9,3.612969634585692,True
TSLA,2026-02-19 06:01:00,short,407.37,407.8744642857143,407.8744642857143,406.76464285714286,-0.5044642857142776,-0.12383442219954283,stop,2,4.857119662282838,False
TSLA,2026-02-19 06:51:00,short,407.91,408.27607142857147,408.27607142857147,407.4707142857143,-0.3660714285714448,-0.08974318564669775,stop,2,6.028643181972443,False
TSLA,2026-02-19 07:01:00,short,407.79,407.79,408.4364285714286,407.01428571428573,0.0,0.0,stop_breakeven,1,5.6831066688513845,True
TSLA,2026-02-19 07:02:00,short,407.22,407.9771428571429,407.9771428571429,406.31142857142856,-0.7571428571428669,-0.18592968349856756,stop,23,3.33173821252639,False
