datetime,open,high,low,close,volume
2026-02-26 11:10:00,187.15,187.58,187.04,187.305,3818752
2026-02-26 11:15:00,187.305,187.63,187.23,187.315,3529275
2026-02-26 11:20:00,187.31,187.67,187.16,187.4801,2880938
2026-02-26 11:25:00,187.49,187.94,185.04,187.825,3157349
2026-02-26 11:30:00,187.79,187.97,187.61,187.88,2524630
2026-02-26 11:35:00,187.88,187.97,187.19,187.35,4380953
2026-02-26 11:40:00,187.3561,187.55,186.7,186.73,2793557
2026-02-26 11:45:00,186.73,186.925,186.535,186.7999,2687845
2026-02-26 11:50:00,186.8,186.97,186.63,186.68,2126312
2026-02-26 11:55:00,186.69,186.72,185.85,185.8965,3245973
2026-02-26 12:00:00,185.89,186.82,185.89,186.8,3290891
2026-02-26 12:05:00,186.79,187.29,186.75,187.15,2560922
2026-02-26 12:10:00,187.15,187.47,187.016,187.0234,2423364
2026-02-26 12:15:00,187.02,187.22,186.63,187.159,2130413
2026-02-26 12:20:00,187.155,187.385,187.0,187.385,1802579
2026-02-26 12:25:00,187.39,187.69,187.2301,187.575,2365374
2026-02-26 12:30:00,187.57,188.12,187.5401,187.8699,2960464
2026-02-26 12:35:00,187.87,187.87,186.97,187.095,2479853
2026-02-26 12:40:00,187.095,187.19,186.59,186.62,1994372
2026-02-26 12:45:00,186.6228,186.79,186.2,186.3798,2413709
2026-02-26 12:50:00,186.3702,186.755,186.2,186.6501,2254253
2026-02-26 12:55:00,186.65,186.91,186.43,186.765,2077428
2026-02-26 13:00:00,186.75,186.77,185.94,185.98,2722956
2026-02-26 13:05:00,185.9806,186.15,185.2,185.41,3724470
2026-02-26 13:10:00,185.405,185.6802,184.97,185.16,3656408
2026-02-26 13:15:00,185.15,185.38,184.86,185.3606,3662715
2026-02-26 13:20:00,185.37,185.53,185.04,185.525,2153167
2026-02-26 13:25:00,185.5111,185.515,185.27,185.355,1397739
2026-02-26 13:30:00,185.35,185.74,184.97,185.6698,3035739
2026-02-26 13:35:00,185.67,185.96,185.47,185.9,2542811
