ticker,timestamp,time_bucket,signal_type,entry,stop,risk,atr,volume_ratio,confidence,outcome,peak_r,actual_r,peak_price,bars_to_peak,time_to_peak_min,bars_to_exit,stopped_out
QQQ,2026-01-06 10:23:00,MORNING (9:45-10:30),BUY,617.79,617.67,0.12,0.08,2.51,100,REVERSAL,0.5,0.25,617.85,0,0,0,False
QQQ,2026-01-06 10:32:00,MIDDAY (10:30-15:00),BUY,617.92,617.82,0.1,0.07,3.6,100,REVERSAL,1.4,0.7,618.06,0,0,0,False
QQQ,2026-01-06 10:39:00,MIDDAY (10:30-15:00),BUY,618.15,618.05,0.1,0.06,5.23,100,REVERSAL,0.8,0.4,618.23,1,1,1,False
QQQ,2026-01-06 10:44:00,MIDDAY (10:30-15:00),BUY,618.15,618.06,0.09,0.06,2.24,100,REVERSAL,1.11,0.56,618.25,0,0,0,False
QQQ,2026-01-06 11:02:00,MIDDAY (10:30-15:00),BUY,618.38,618.26,0.12,0.08,2.78,100,REVERSAL,0.83,0.42,618.48,7,7,7,False
QQQ,2026-01-06 11:04:00,MIDDAY (10:30-15:00),BUY,618.38,618.27,0.11,0.07,2.07,90,STOP_OUT,0.0,-1.0,618.38,0,0,0,True
QQQ,2026-01-06 11:13:00,MIDDAY (10:30-15:00),BUY,618.4,618.3,0.1,0.06,4.56,100,STOP_OUT,0.1,-1.0,618.41,0,0,0,True
QQQ,2026-01-06 11:37:00,MIDDAY (10:30-15:00),BUY,618.25,618.16,0.09,0.06,8.2,100,STOP_OUT,0.22,-1.0,618.27,2,2,2,True
QQQ,2026-01-06 11:56:00,MIDDAY (10:30-15:00),BUY,618.6,618.48,0.12,0.08,10.37,100,STOP_OUT,0.0,-1.0,618.6,0,0,0,True
QQQ,2026-01-06 12:07:00,MIDDAY (10:30-15:00),BUY,618.55,618.39,0.16,0.11,2.54,100,REVERSAL,0.94,0.47,618.7,4,4,4,False
QQQ,2026-01-06 12:34:00,MIDDAY (10:30-15:00),BUY,618.77,618.68,0.08,0.06,2.14,100,REVERSAL,1.0,0.5,618.86,1,1,1,False
QQQ,2026-01-06 12:39:00,MIDDAY (10:30-15:00),BUY,618.8,618.71,0.09,0.06,4.97,100,REVERSAL,0.89,0.44,618.88,0,0,0,False
QQQ,2026-01-06 12:41:00,MIDDAY (10:30-15:00),BUY,618.93,618.83,0.1,0.07,3.07,100,REVERSAL,0.9,0.45,619.02,0,0,0,False
QQQ,2026-01-06 12:43:00,MIDDAY (10:30-15:00),BUY,619.18,619.05,0.13,0.09,4.05,100,REVERSAL,0.85,0.42,619.29,2,2,2,False
QQQ,2026-01-06 14:25:00,MIDDAY (10:30-15:00),BUY,619.03,618.83,0.2,0.13,7.24,100,REVERSAL,1.0,0.5,619.23,2,2,2,False
QQQ,2026-01-06 14:28:00,MIDDAY (10:30-15:00),BUY,619.13,618.9,0.23,0.15,2.55,100,REVERSAL,4.48,2.24,620.16,1,1,1,False
QQQ,2026-01-06 14:30:00,MIDDAY (10:30-15:00),BUY,620.01,619.67,0.34,0.22,104.2,100,STOP_OUT,0.0,-1.0,620.01,0,0,0,True
QQQ,2026-01-06 15:00:00,CLOSE (15:00-16:00),BUY,622.21,621.51,0.7,0.46,2.02,77,STOP_OUT,0.34,-1.0,622.45,0,0,0,True
